FIPS,CountyState,Latitude,Longitude,State,Type,Region,VoteDemocratic2016,VoteRepublican2016,VotesTotal2016,DifferenceVotes2016,PercentageDemocratic2016,PercentageRepublican2016,DemocratOrRepublican,,C Income/Capita,College2014,BlackPercentage,AsianPercentage,HispanicPercentage,ForeignBornPercentage,PovertyPercentage2014,PopulationDensity,LandArea,Obese2013,MedianIncomeHousehold2014
1001,"Autauga County, Alabama",32.523283,-86.57717,Alabama,County,Atlantic-S,"5,936","18,172","24,759","12,236",0.24,0.73,0,,24571,0.53,0.18,0.01,0.03,0.02,0.12,91.9,594,0.34,54366
1003,"Baldwin County, Alabama",30.592781,-87.74826,Alabama,County,Atlantic-S,"18,458","72,883","94,261","54,425",0.2,0.77,0,,26766,0.6,0.09,0.01,0.04,0.03,0.14,114.6,1590,0.27,49626
1005,"Barbour County, Alabama",31.856515,-85.33131,Alabama,County,Atlantic-S,"4,871","5,454","10,436",583,0.47,0.52,0,,16829,0.41,0.48,0.01,0.05,0.03,0.27,31,885,0.44,34971
1007,"Bibb County, Alabama",33.040054,-87.12324,Alabama,County,Atlantic-S,"1,874","6,738","8,753","4,864",0.21,0.77,0,,17427,0.38,0.22,0,0.02,0.01,0.18,36.8,623,0.4,39546
1009,"Blount County, Alabama",33.978461,-86.55476,Alabama,County,Atlantic-S,"2,156","22,859","25,442","20,703",0.09,0.9,0,,20730,0.44,0.02,0,0.09,0.04,0.16,88.9,645,0.35,45567
1011,"Bullock County, Alabama",32.098285,-85.70491,Alabama,County,Atlantic-S,"3,530","1,140","4,702","-2,390",0.75,0.24,1,,18628,0.33,0.7,0,0.08,0.05,0.22,17.5,623,0.43,26580
1013,"Butler County, Alabama",31.735884,-86.66223,Alabama,County,Atlantic-S,"3,726","4,901","8,705","1,175",0.43,0.56,0,,17403,0.39,0.44,0.01,0.01,0.01,0.28,27,777,0.36,32512
1015,"Calhoun County, Alabama",33.741989,-85.81754,Alabama,County,Atlantic-S,"13,242","32,865","47,485","19,623",0.28,0.69,0,,20828,0.48,0.21,0.01,0.04,0.02,0.22,195.7,606,0.32,41123
1017,"Chambers County, Alabama",32.891233,-85.28874,Alabama,County,Atlantic-S,"5,784","7,843","13,839","2,059",0.42,0.57,0,,19291,0.4,0.39,0.01,0.02,0.01,0.24,57.3,597,0.4,34116
1019,"Cherokee County, Alabama",34.184158,-85.62193,Alabama,County,Atlantic-S,"1,547","8,953","10,673","7,406",0.15,0.84,0,,22030,0.44,0.05,0,0.01,0.01,0.21,46.9,554,0.34,38013
1021,"Chilton County, Alabama",32.852554,-86.68998,Alabama,County,Atlantic-S,"2,911","15,081","18,272","12,170",0.16,0.83,0,,20701,0.38,0.1,0,0.08,0.05,0.2,63,693,0.36,41450
1023,"Choctaw County, Alabama",32.027681,-88.25785,Alabama,County,Atlantic-S,"3,109","4,106","7,273",997,0.43,0.56,0,,20323,0.39,0.43,0,0.01,0,0.22,15.2,914,0.41,35049
1025,"Clarke County, Alabama",31.688155,-87.83416,Alabama,County,Atlantic-S,"5,749","7,140","13,005","1,391",0.44,0.55,0,,18979,0.36,0.44,0.01,0.01,0,0.29,20.9,1238,0.38,36620
1027,"Clay County, Alabama",33.26581,-85.84285,Alabama,County,Atlantic-S,"1,237","5,245","6,591","4,008",0.19,0.8,0,,18694,0.39,0.14,0,0.03,0.02,0.19,23.1,604,0.37,35940
1029,"Cleburne County, Alabama",33.647948,-85.51193,Alabama,County,Atlantic-S,684,"5,764","6,558","5,080",0.1,0.88,0,,19108,0.37,0.04,0,0.02,0.01,0.18,26.7,560,0.3,40418
1031,"Coffee County, Alabama",31.378987,-85.95684,Alabama,County,Atlantic-S,"4,221","15,875","20,596","11,654",0.21,0.77,0,,23380,0.53,0.18,0.01,0.06,0.05,0.19,73.6,679,0.34,46931
1033,"Colbert County, Alabama",34.73148,-87.72596,Alabama,County,Atlantic-S,"7,312","16,746","24,676","9,434",0.3,0.68,0,,21572,0.5,0.16,0,0.02,0.02,0.18,91.8,593,0.38,43057
1035,"Conecuh County, Alabama",31.415613,-87.0021,Alabama,County,Atlantic-S,"3,080","3,420","6,561",340,0.47,0.52,0,,15605,0.33,0.46,0,0.02,0.01,0.33,15.6,850,0.36,29101
1037,"Coosa County, Alabama",32.955511,-86.23631,Alabama,County,Atlantic-S,"1,782","3,381","5,230","1,599",0.34,0.65,0,,18493,0.36,0.31,0,0.02,0.02,0.21,17.7,651,0.4,34679
1039,"Covington County, Alabama",31.251036,-86.41619,Alabama,County,Atlantic-S,"2,387","13,267","15,873","10,880",0.15,0.84,0,,20391,0.46,0.13,0,0.02,0.01,0.2,36.7,1030,0.34,36149
