FIPS,CountyState,Latitude,Longitude,State,Type,Region,VoteDemocratic2016,VoteRepublican2016,DifferenceTotal,VotesTotal2016,PercentageDemocratic2016,PercentageRepublican2016,DemocratOrRepublican,PercentageDemocratOrRepublican,OnlyRepublicanPERCENTAGE2016,OnlyDemocratPERCENTAGE2016,VotesONLYRepublican2016,VotesONLYDDemocratic2016,,C Income/Capita,College2014,BlackPercentage,AsianPercentage,HispanicPercentage,ForeignBornPercentage,PovertyPercentage2014,PopulationDensity,LandArea,Obese2013,MedianIncomeHousehold2014
1001,"Autauga County, Alabama",32.523283,-86.57717,Alabama,County,Atlantic-S,5936,18172,12236,24759.00,24,73,0,73,0.73,0,12236,0,,24571,0.53,0.18,0.01,0.03,0.02,0.12,91.9,594,0.34,54366
1003,"Baldwin County, Alabama",30.592781,-87.74826,Alabama,County,Atlantic-S,18458,72883,54425,94261.00,20,77,0,77,0.77,0,54425,0,,26766,0.6,0.09,0.01,0.04,0.03,0.14,114.6,1590,0.27,49626
1005,"Barbour County, Alabama",31.856515,-85.33131,Alabama,County,Atlantic-S,4871,5454,583,10436.00,47,52,0,52,0.52,0,583,0,,16829,0.41,0.48,0.01,0.05,0.03,0.27,31,885,0.44,34971
1007,"Bibb County, Alabama",33.040054,-87.12324,Alabama,County,Atlantic-S,1874,6738,4864,8753.00,21,77,0,77,0.77,0,4864,0,,17427,0.38,0.22,0,0.02,0.01,0.18,36.8,623,0.4,39546
1009,"Blount County, Alabama",33.978461,-86.55476,Alabama,County,Atlantic-S,2156,22859,20703,25442.00,9,90,0,90,0.9,0,20703,0,,20730,0.44,0.02,0,0.09,0.04,0.16,88.9,645,0.35,45567
1011,"Bullock County, Alabama",32.098285,-85.70491,Alabama,County,Atlantic-S,3530,1140,2390,4702.00,75,24,1,-75,0,0.75,0,2390,,18628,0.33,0.7,0,0.08,0.05,0.22,17.5,623,0.43,26580
1013,"Butler County, Alabama",31.735884,-86.66223,Alabama,County,Atlantic-S,3726,4901,1175,8705.00,43,56,0,56,0.56,0,1175,0,,17403,0.39,0.44,0.01,0.01,0.01,0.28,27,777,0.36,32512
1015,"Calhoun County, Alabama",33.741989,-85.81754,Alabama,County,Atlantic-S,13242,32865,19623,47485.00,28,69,0,69,0.69,0,19623,0,,20828,0.48,0.21,0.01,0.04,0.02,0.22,195.7,606,0.32,41123
1017,"Chambers County, Alabama",32.891233,-85.28874,Alabama,County,Atlantic-S,5784,7843,2059,13839.00,42,57,0,57,0.57,0,2059,0,,19291,0.4,0.39,0.01,0.02,0.01,0.24,57.3,597,0.4,34116
1019,"Cherokee County, Alabama",34.184158,-85.62193,Alabama,County,Atlantic-S,1547,8953,7406,10673.00,15,84,0,84,0.84,0,7406,0,,22030,0.44,0.05,0,0.01,0.01,0.21,46.9,554,0.34,38013
1021,"Chilton County, Alabama",32.852554,-86.68998,Alabama,County,Atlantic-S,2911,15081,12170,18272.00,16,83,0,83,0.83,0,12170,0,,20701,0.38,0.1,0,0.08,0.05,0.2,63,693,0.36,41450
1023,"Choctaw County, Alabama",32.027681,-88.25785,Alabama,County,Atlantic-S,3109,4106,997,7273.00,43,56,0,56,0.56,0,997,0,,20323,0.39,0.43,0,0.01,0,0.22,15.2,914,0.41,35049
1025,"Clarke County, Alabama",31.688155,-87.83416,Alabama,County,Atlantic-S,5749,7140,1391,13005.00,44,55,0,55,0.55,0,1391,0,,18979,0.36,0.44,0.01,0.01,0,0.29,20.9,1238,0.38,36620
1027,"Clay County, Alabama",33.26581,-85.84285,Alabama,County,Atlantic-S,1237,5245,4008,6591.00,19,80,0,80,0.8,0,4008,0,,18694,0.39,0.14,0,0.03,0.02,0.19,23.1,604,0.37,35940
1029,"Cleburne County, Alabama",33.647948,-85.51193,Alabama,County,Atlantic-S,684,5764,5080,6558.00,10,88,0,88,0.88,0,5080,0,,19108,0.37,0.04,0,0.02,0.01,0.18,26.7,560,0.3,40418
1031,"Coffee County, Alabama",31.378987,-85.95684,Alabama,County,Atlantic-S,4221,15875,11654,20596.00,21,77,0,77,0.77,0,11654,0,,23380,0.53,0.18,0.01,0.06,0.05,0.19,73.6,679,0.34,46931
1033,"Colbert County, Alabama",34.73148,-87.72596,Alabama,County,Atlantic-S,7312,16746,9434,24676.00,30,68,0,68,0.68,0,9434,0,,21572,0.5,0.16,0,0.02,0.02,0.18,91.8,593,0.38,43057
1035,"Conecuh County, Alabama",31.415613,-87.0021,Alabama,County,Atlantic-S,3080,3420,340,6561.00,47,52,0,52,0.52,0,340,0,,15605,0.33,0.46,0,0.02,0.01,0.33,15.6,850,0.36,29101
1037,"Coosa County, Alabama",32.955511,-86.23631,Alabama,County,Atlantic-S,1782,3381,1599,5230.00,34,65,0,65,0.65,0,1599,0,,18493,0.36,0.31,0,0.02,0.02,0.21,17.7,651,0.4,34679
1039,"Covington County, Alabama",31.251036,-86.41619,Alabama,County,Atlantic-S,2387,13267,10880,15873.00,15,84,0,84,0.84,0,10880,0,,20391,0.46,0.13,0,0.02,0.01,0.2,36.7,1030,0.34,36149
1041,"Crenshaw County, Alabama",31.710365,-86.28929,Alabama,County,Atlantic-S,1664,4513,2849,6256.00,27,72,0,72,0.72,0,2849,0,,21343,0.38,0.24,0.02,0.02,0.02,0.19,22.8,609,0.4,34445
1043,"Cullman County, Alabama",34.155603,-86.83017,Alabama,County,Atlantic-S,3798,32989,29191,37608.00,10,88,0,88,0.88,0,29191,0,,20760,0.48,0.01,0,0.04,0.03,0.19,109.4,735,0.33,39922
1045,"Dale County, Alabama",31.3941,-85.61501,Alabama,County,Atlantic-S,4413,13808,9395,18633.00,24,74,0,74,0.74,0,9395,0,,22685,0.54,0.2,0.01,0.06,0.04,0.17,89.6,561,0.37,41940
1047,"Dallas County, Alabama",32.379942,-87.06556,Alabama,County,Atlantic-S,12836,5789,7047,18745.00,69,31,1,-69,0,0.69,0,7047,,17245,0.42,0.7,0.01,0.01,0.01,0.36,44.8,979,0.41,26602
1049,"DeKalb County, Alabama",34.459133,-85.79891,Alabama,County,Atlantic-S,3622,21405,17783,25637.00,14,83,0,83,0.83,0,17783,0,,18149,0.38,0.02,0,0.14,0.08,0.2,91.5,777,0.3,36241
1051,"Elmore County, Alabama",32.596847,-86.17076,Alabama,County,Atlantic-S,8443,27634,19191,36927.00,23,75,0,75,0.75,0,19191,0,,23856,0.52,0.21,0.01,0.03,0.02,0.13,128.3,618,0.35,54298
1053,"Escambia County, Alabama",31.104135,-87.23288,Alabama,County,Atlantic-S,4605,9935,5330,14765.00,31,67,0,67,0.67,0,5330,0,,16540,0.38,0.32,0,0.02,0.01,0.25,40.5,945,0.38,37077
1055,"Etowah County, Alabama",34.018597,-86.03212,Alabama,County,Atlantic-S,10442,32353,21911,43794.00,24,74,0,74,0.74,0,21911,0,,20204,0.5,0.16,0.01,0.04,0.02,0.19,195.2,535,0.35,39904
1057,"Fayette County, Alabama",33.747077,-87.75172,Alabama,County,Atlantic-S,6568,8637,2069,15753.00,42,55,0,55,0.55,0,2069,0,,18494,0.38,0.12,0,0.02,0.01,0.2,27.5,628,0.34,35664
1059,"Franklin County, Alabama",34.465405,-87.83263,Alabama,County,Atlantic-S,3711,10232,6521,14403.00,26,71,0,71,0.71,0,6521,0,,18888,0.38,0.04,0,0.15,0.08,0.22,50,634,0.33,33881
1061,"Geneva County, Alabama",31.094579,-85.79698,Alabama,County,Atlantic-S,42837,27896,14941,73589.00,58,38,1,-58,0,0.58,0,14941,,20199,0.4,0.1,0,0.03,0.02,0.21,46.7,574,0.34,34425
1063,"Greene County, Alabama",32.837254,-87.95085,Alabama,County,Atlantic-S,8215,8064,151,16989.00,48,47,1,-48,0,0.48,0,151,,14930,0.38,0.8,0,0.01,0,0.33,14,647,0.46,26504
