Country,Region-Geo,Continent,Region,Year,Leap Year,ChildrenPerWoman,IncomePerPerson,Infantmortality,LifeExpectancy,Populationtotal,Populationdensity
Afghanistan,Asia - Southern,Asia,South Asia,1952,[1952],7.671,2338.335943,,27.448,8407148,12.893
Albania,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],6.071,4803.168409,,54.876,1269302,44.153
Algeria,Africa - Northern,Africa,Middle East & North Africa,1952,[1952],7.648,7347.024556,,42.678,9140990,3.838
American Samoa,Oceania,Oceania,East Asia & Pacific,1952,[1952],,13799.49386,,,19525,98.116
Andorra,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],,49618.60246,,,7247,15.485
Angola,Africa - Central,Africa,Sub-Saharan Africa,1952,[1952],6.98,10561.83082,,29.804,4296534,3.446
Anguilla,America - Central,Central and South America,America,1952,[1952],,11038.55257,,,5438,59.758
Antigua and Barbuda,America - Central,Central and South America,America,1952,[1952],4.496,7661.639427,,58.284,49906,112.91
Argentina,America - South,Central and South America,America,1952,[1952],3.157,17733.94516,65,62.32,17865382,6.425
Armenia,Asia - Western,Asia,Europe & Central Asia,1952,[1952],4.492,4217.465954,,62.602,1419913,47.648
Aruba,America - Central,Central and South America,America,1952,[1952],5.695,8195.001555,,60.01,38966,216.478
Australia,Oceania,Oceania,East Asia & Pacific,1952,[1952],3.181,30118.78691,24.2,69.12,8604679,1.112
Austria,Europe - Western,Europe,Europe & Central Asia,1952,[1952],2.061,18411.22948,52,66.8,6929474,82.633
Azerbaijan,Asia - Western,Asia,Europe & Central Asia,1952,[1952],5.505,4322.023901,,57.754,3044695,35.158
Bahamas,America - Central,Central and South America,America,1952,[1952],4.021,14695.80152,,59.824,81426,5.867
Bahrain,Asia - Western,Asia,Middle East & North Africa,1952,[1952],6.973,19734.16953,,42.459,119567,172.287
Bangladesh,Asia - Southern,Asia,South Asia,1952,[1952],6.331,1368.488343,225.4,43.376,40207573,279.223
Barbados,America - Central,Central and South America,America,1952,[1952],4.429,7164.528737,145,56.95,219587,510.667
Belarus,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],2.595,4831.544286,,65.692,7710974,37.143
Belgium,Europe - Western,Europe,Europe & Central Asia,1952,[1952],2.327,16686.21025,45,68,8710135,285.316
Belize,America - Central,Central and South America,America,1952,[1952],6.66,3515.530436,,55.644,73295,3.191
Benin,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],5.829,2125.5044,202.9,33.467,2264492,20.107
Bermuda,America - North,North America,America,1952,[1952],,33933.59479,,,38424,724.981
Bhutan,Asia - Southern,Asia,South Asia,1952,[1952],6.67,1394.793827,,29.331,180287,3.836
Bolivia,America - South,Central and South America,America,1952,[1952],6.748,5354.652694,,40.274,2824538,2.571
Bosnia and Herzegovina,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],4.875,1947.06639,,53.165,2779107,54.283
Botswana,America - South,Africa,Sub-Saharan Africa,1952,[1952],6.492,1702.482281,,47.451,437177,0.752
Brazil,America - South,Central and South America,America,1952,[1952],6.149,4217.88871,,50.763,57422674,6.744
